Holder,Amount
0xfeff18971b0e49f503586980218c835dca346b8f,8464180707428155498
0xf29961bb0704a9e11332504c4ae0fed8edca6da5,338567
0x3021338c74f10cef1ece6404ac1498c2559f7a5c,175239382108439016917
0xe92a405afa5f6a1b55f87f4bff1dd03bfcb144c3,1645123697306693861234
0x554d9fda5df38ce610804764a8763f3da4181606,338567
0x79d2e55e30cd4183715f53517d5c5de850aba2cb,89966141734912658344
0x9c82b61417ba05961a2831ddb550905fdb950495,338567
0x5cb01385d3097b6a189d1ac8ba3364d900666445,636999031147998639
0x07edcf4925bb219d02dc77a8e61abad3de2c9922,11947738407675477351
0x9abe353247ae0d600fc7a5f06e1fe01039dd49cf,1354268
0x45354ba7fd880cb247f0940818dcc136b282ad3f,343193817002959546974
0x306f6465c5ddf502a5bb31e3b340ad30f7ee0c77,4830453654766931126
0xbca4d68be543dcefb1a8bccb519503f9ba3f2026,12828691396885769447395
0x2756f3dc96b8cae209cdefbcd0a02c53cef148d4,5879615581486813875
0xcfa7acf8b959b0e370a68492876a09c34ed58428,174489111148850167684
0x98ed3de65a3eaa55dcba3a2e287695b0948092d4,163598878475068213348
0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,2017128219775568581847
0xbadaaaf7f5d6cfaa1e69b87e4698442bb0689b67,246897861118825391135
0xfb41cbf2ce16e8f626013a2f465521d27ba9a610,1457703170820806858
0x22c90bc05ac3275109a3d2b1990491a667930aa2,1684530153346078938052
0x6ab643ec38cae722127642fdca4925ecbd9a1401,3477503040769489538
0x9a08883997cdae37e58c43928fd7dbfbf1624654,704138220029375997
0x466719a736a82041ab7a15bf564b498d1a52e181,300577011302356137
0xb9cb4d9484e0d78ae52deb37c5e38988b70bd9c1,544924780523384319
0xe319450100afa5d5e3cf7da20390fd473a328b56,197882771350146828
0x4dd1b9f770ea4b115e31f32c88fbebb92461a3df,28295117533963640
0x617616dd22233b07d426dfc946f017b6128d2aaa,28508226633454230
0x9cdf1cd87b904e3d1991a4cdc734c0b807412834,28611925702108669
0x99a4094b34586c24902f4ce5e181053bb2923ffb,29829563175348653
0x7cf38d0f09f89016955881336893250230cffd65,30089387623860204
0xa4b676d48bece74cd241bb487e55682e85d023a9,30117633516053102
0x44fa1b7b7acc00f6c81539a8fe255794edf7c03c,1641126135431484909
0xa4a1ffc4b4fb9f215136bf95753676e7899a141f,760694954174188621
0x8cdf58a46c134d0898ee396a3c4802fe7e6d0466,22159631842893513282
0xa02d6c1cb1e7018f9afbfd6a9a8dbfa344fd3732,5495991
0x5f0ff52df8df2c5351c47b6711c33f36c5402909,57195714076966778949
0x9744706728e5db4d535dbf2fe1e6a4ea6cdb1ea7,1250422173431875610
0xa3a7739486ace332f3bb307c6e5ee175fa131839,15922808795099538434
0x9c54cfc3f78339ae1904a2b3cfc8622ba2fb4781,184075496650189489286
0xf324adc872005197a6f7dae214d3b63aa0c3625f,5495991
0x8e150600934a63336c2d6e75a1b41d96039eb445,5495991
0x9c20b6eb1452e6ad77d67a8b5d86fddc384e93f3,56598169061085571757
0xd8f89e6437b7d515706dcab8c9a8219eaf4863ce,2915891445000000000000
0x9540f81a34a56e8a84a8acda49615dcc357a7593,13783017520690458302
0xd31f6bcad59e7f4d6f00bcc9c786981d7b10abfb,172647859028990986163
0x6d93ab5743ad9fad6ff3c33e3ae60755b8913a08,113516203477308353
0x4167f26312c8fe15bf4b04c0e7e8958734eb6931,19676219768899729090
0xbca50151397b790c7d1cf5c66e8889a08b086612,100613645929236723613
0x9a3583a868156435ec9174b6310729b741d4379b,42364759450059751409
0x88888887c3ebd4a33e34a15db4254c74c75e5d4a,319029399310651448
0x6aab3a5d61c8e2b6b0f1b6701dfd7477b0b13a3f,17281563119556125204
0x3d8bb79b2ee63178e0e9de6c199fb1df5bc33597,13563992443453813599
0xb2812370f17465ae096ced55679428786734a678,200800233393820090826
0xbeef1efee5938c2bb2fd99f5fb7ee015c3d81c76,4304796152693
0x0bef24dca00c086713d3ecc897e0dd8cc156ba28,160980962319667593103
0x219dc7e52998432f3812cadae69085ec445395a3,2248542042686894172
0x578b776e9a8ff380c257a0dd274820c5d484c6ec,1133162656122965730
0xfc1761ac1fcd39879cf68831dc7d4f4796293e5b,450303640929626257
0xf0ee45c02747120c51f03d729554f7190f3b9276,23112705411091879110
0x6371024c5ffdaefef716adce3cac52ac6181cd9d,345903993864443133618
0xaed8810b3f7367d63a6d6fd86dfb1878552d9d07,168695184271320922530
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,14072265256529273027
0x31cd785b11beaffc42d3f9461b245f891922e09c,16551962095483124878
0x6cb3981d8f8696780525c872e24f6c552adc376f,1643758535846735155
0x450d917214101a4e3f5af7ac0eb1425afa20791a,6823105555914005744
0x8a3154b26c925fa8b2d61fc0b94747079acc5691,59638127063750386614
0x8504a9caf1582a674cbc596a8dc2b8b9dd922744,4624888259930040750
0x9bc5857b5ac75ffaec493eaa5a55c889ca6ba0fc,11043099630660887664
0x984c369da885c0f31cb92b47c20da80cd63f0c22,6302118270415304512
0x93893f7e609888801ea67a586fc40fdb06f8b700,21182235464208956595
0x7d02044442bfcf9c484201b35779a32701f34aa8,2706486919851778642
0x7c659bab15e8c8bed74f1b9c1c2cadee39884f19,3200901255698712878
0xe7fa5e5cfc3df4305a6436443417c4db4b24ee04,18214723433241666062
0xde078c11e0885fb28057436a4ab751189c1b3416,50426751000000000000
0x86bb1f0c21a1b8dad85089357ce5b42a581ba8ac,2159331493843754897
0x1f7d588333431870f107210feb039df470d5fe3c,34383082883183132
0x17b1d9a1a8f0363e04bccdf2839cb107b2297774,9269268959320221242
0xa0db06b78488834c9c8e65f5854200318f2cb179,381261575948847545
0x6a4f702fdf49a348ed98a45e0298be8952fdf866,2380915727873707589
0x9b98b0329ee42364d101ac8c03704b263909e3db,106895826101761428
0x3bb8c7f964d49f11a2ef8a41a6cb00cbee8df53a,850039213437386650
0xc9b8dafc1928070222167817ff0a0c92d15bb6a3,815207786562613349
